COD_BARRAS;PRODUTO_ID;NOMEORDER;FORNECEDOR;LOCALIZACAO;TRIBUTACAO;NCM;ALIQUOTA_NCM;CST_PIS;CST_COFINS;NATUREZA_RECEITA_PIS_COFINS;PADRAO_COMISSAO;DESCONTO_MAXIMO;QUANTIDADEORDER;TABELA;VENDA;PROMOCAO;VALOR_ULT_COMPRA;MARGEM;TOTAL_PRVENDA;TOTAL_PRPROMOCAO;TOTAL_PRCOMPRA
7896641806339;30524;OMNARIS;NOVARTIS;;ST;30043210;0;04;04;002;0;15;0;;42,2400016784668;0;30,5499992370605;38,2651480633262;0;0;0
5000456021258;26756;OMNARIS SPRAY NASAL 50 MG C/ 120 DOSES;TAKEDA PHARMA LTDA.;;ST;30043999;32,09;04;04;002;0;10;0;;60,2000007629395;0;42,810001373291;40,62134742303;0;0;0
7891317000981;18681;OMNIC 0,4MG C/20;EUROFARMA;;ST;30049069;0;04;04;002;0;10;0;;137,919998168945;0;84,8199996948242;62,6031580584423;0;0;0
7891317000998;17339;OMNIC 0,4MG C/30;EUROFARMA;;ST;30049069;0;04;04;002;0;10;0;;200,899993896484;0;123,550003051758;62,6062233380301;0;0;0
7899337000400;44735;OMNIC OCAS 0,4 MG CX C/ 30 CPR REV LIB PROLONG;ASTELLAS FARMA;;ST;30049079;0;04;04;002;0;0;0;150,64;150,639999389648;0;96,3399963378906;56,3628867716716;0;0;0
7897917003285;30862;OMOPREL;BELFARLTDA.;;ST;30049069;0;04;04;002;0;10;0;;80,25;0;93;-13,7096774193548;0;0;0
7897917003278;30863;OMOPREL;BELFARLTDA.;;ST;30049069;0;04;04;002;0;10;0;;40,1500015258789;0;46,5400009155273;-13,7301230424267;0;0;0
7897917000802;28685;OMOPREL;BELFARLTDA.;;ST;30049069;0;04;04;002;0;10;0;;27,6100006103516;0;15,1599998474121;82,1240164132636;0;0;0
7897917000819;28686;OMOPREL;BELFARLTDA.;;ST;30049069;0;04;04;002;0;10;0;;29,5;0;16,2000007629395;82,0987568561527;0;0;0
7897917001748;28687;OMOPREL;BELFARLTDA.;;ST;30049069;0;04;04;002;0;10;0;;23,75;0;13,0500001907349;81,9923345048059;0;0;0
7897917001755;16935;OMOPREL;BELFARLTDA.;;ST;30049069;32,09;04;04;002;0;10;0;;18,9400005340576;0;22,0400009155273;-14,0653368997174;0;0;0
7897917003261;30864;OMOPREL (OMEPRAZOL) 20 MG CX C/56 CAPS;BELFARLTDA.;;ST;30049069;32,09;04;04;002;0;0;0;;18,9599990844727;13;6;116,666666666667;0;0;0
7897917000857;11995;OMOPREL 20MG C/14COMP;BELFARLTDA.;;ST;30049069;0;04;04;002;0;10;0;;27,0300006866455;0;19,5499992370605;38,2608784731064;0;0;0
7897917003254;46826;OMOPREL 20MG C/28CAPS BELFAR;BELFARLTDA.;;ST;30049069;0;04;04;002;3;15;0;;16,1700000762939;6;3,19583344459534;87,7444523946314;0;0;0
7896261016439;30480;ONBRIZE;NOVARTIS;;ST;30049069;0;04;04;002;0;15;0;65,98;65,9800033569336;0;30,1000003814697;119,202666181866;0;0;0
