COD_BARRAS,PRODUTO_ID,NOMEORDER,FORNECEDOR,LOCALIZACAO,TRIBUTACAO,NCM,ALIQUOTA_NCM,CST_PIS,CST_COFINS,NATUREZA_RECEITA_PIS_COFINS,PADRAO_COMISSAO,DESCONTO_MAXIMO,QUANTIDADEORDER,TABELA,VENDA,PROMOCAO,VALOR_ULT_COMPRA,MARGEM,TOTAL_PRVENDA,TOTAL_PRPROMOCAO,TOTAL_PRCOMPRA,VALOR
7898912848680,24792,VIT. VENIX 10ML (SKOVE LINE),PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,200000048",0,"0,600000024",100,0,0,0,"1,200000048"
7898912848079,18613,VIT. VENIX 10ML (SKOVE LINE),PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,"48.0,47",4,4,202,0,5,0,,"1,200000048",0,"0,600000024",100,0,0,0,"1,200000048"
7898912848031,18612,VIT. VENIX 10ML (SKOVE LINE),PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,"48.0,47",4,4,202,0,5,0,,"1,200000048",0,"0,600000024",100,0,0,0,"1,200000048"
7898912848284,13437,VIT. VENIX 10ML (SKOVE LINE),PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,200000048",0,"0,600000024",100,0,0,0,"1,200000048"
7898912848307,21040,VIT. VENIX 10ML (SKOVE LINE),PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,200000048",0,"0,600000024",100,0,0,0,"1,200000048"
7898265375017,20009,VIT. VITA FLOR 10 ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"0,850000024",0,"0,579999983","46,55173247",0,0,0,"0,850000024"
7898265375000,20007,VIT. VITA FLOR 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"0,850000024",0,"0,579999983","46,55173247",0,0,0,"0,850000024"
7898265375055,20008,VIT. VITA FLOR 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"0,850000024",0,"0,579999983","46,55173247",0,0,0,"0,850000024"
7898922219029,27799,VIT. VITA SEIVA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,"48.0,47",4,4,202,0,5,0,,"0.0,25",0,"0,819999993","52,43902572",0,0,0,"0.0,25"
7898922218466,23485,VIT. VITA SEIVA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,"48.0,47",4,4,202,0,0,0,,"0.0,25",0,"0,819999993","52,43902572",0,0,0,"0.0,25"
